Venue,Normalized Name,Example Name,Count,Percentage,Category
Sauna Social Club,creative wellbeing | sauna & song | jacob swindells,Creative Wellbeing | Sauna & Song | Jacob Swindells,1,6.7,Low Frequency (Special Event)
Sauna Social Club,creative wellbeing | sound healing & sauna | shivani sen,Creative Wellbeing | Sound Healing & Sauna | Shivani Sen,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | dan nicholls (live),Ambient Sauna | Dan Nicholls (live),1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | stella z & will hofbauer,Ambient Sauna | Stella Z & Will Hofbauer,1,6.7,Low Frequency (Special Event)
Sauna Social Club,queer ambient sauna | o•rbyss w/ teleopath & becca raeburn,Queer Ambient Sauna | o•rbyss w/ Teleopath & Becca Raeburn,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | introspective electronics,Ambient Sauna | Introspective Electronics,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | reel long overdub,Ambient Sauna | Reel Long Overdub,1,6.7,Low Frequency (Special Event)
Sauna Social Club,creative wellbeing | sound healing & sauna | joe dalziel ​,Creative Wellbeing | Sound Healing & Sauna | Joe Dalziel ​,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | xixi z & tba,Ambient Sauna | Xixi Z & TBA,1,6.7,Low Frequency (Special Event)
Sauna Social Club,ambient sauna | cozi w/ softi,Ambient Sauna | Cozi w/ Softi,1,6.7,Low Frequency (Special Event)
Sauna Social Club,creative wellbeing | aufguss ​​​,Creative Wellbeing | Aufguss ​​​,1,6.7,Low Frequency (Special Event)
Sauna Social Club,trans+ sauna (book through external link),Trans+ Sauna (book through external link),1,6.7,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Sun 1st Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,6,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sun 1st Feb, 26",members slot,Members Slot,6,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sun 1st Feb, 26",camberwell: peak 1h sauna,Camberwell: Peak 1h Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Sun 1st Feb, 26",flinta 90min sauna,FLINTA 90min Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Sun 1st Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,7,43.8,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sun 1st Feb, 26",members slot,Members Slot,7,43.8,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sun 1st Feb, 26",walthamstow: peak 1h sauna,Walthamstow: Peak 1h Sauna,1,6.2,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Sun 1st Feb, 26",sauna sound bath: walthamstow,Sauna Sound Bath: Walthamstow,1,6.2,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Sun 1st Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,6,75.0,Medium Frequency (Recurring Event)
"Community Sauna Stratford Timetable - Sun 1st Feb, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,2,25.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,9,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",camberwell: nhs free sauna,Camberwell: NHS Free Sauna,5,23.8,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,3,14.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",members slot,Members Slot,2,9.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Mon 2nd Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,9.5,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,6,40.0,Medium Frequency (Recurring Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford nhs free sauna,Stratford NHS Free Sauna,4,26.7,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,2,13.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,13.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Mon 2nd Feb, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,1,6.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",women's: nhs free sauna,Women's: NHS Free Sauna,3,17.6,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",women's: off-peak 1h sauna,Women's: Off-Peak 1h Sauna,3,17.6,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,17.6,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Mon 2nd Feb, 26",members slot,Members Slot,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,5,27.8,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,5,27.8,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,16.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",members slot,Members Slot,2,11.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,2,11.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Tue 3rd Feb, 26",restore & reset: breathwork & sauna,Restore & Reset: Breathwork & Sauna,1,5.6,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Tue 3rd Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,1,33.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Tue 3rd Feb, 26",members slot,Members Slot,1,33.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Tue 3rd Feb, 26",queer heat series: qpoc edition,Queer Heat Series: QPOC Edition,1,33.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Tue 3rd Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,100.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,9,40.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",camberwell: nhs free sauna,Camberwell: NHS Free Sauna,5,22.7,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,3,13.6,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,9.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",members slot,Members Slot,2,9.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Wed 4th Feb, 26",sauna sound bath: camberwell,Sauna Sound Bath: Camberwell,1,4.5,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,3,21.4,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",stratford nhs free sauna,Stratford NHS Free Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",women's off-peak 1h sauna,Women's Off-Peak 1h Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",women's nhs free sauna,Women's NHS Free Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",women's: off-peak 90min sauna,Women's: Off-peak 90min Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Wed 4th Feb, 26",flinta: site take over,FLINTA: Site Take Over,1,7.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Wed 4th Feb, 26",jon hopkins x saunathesia,Jon Hopkins x Saunathesia,1,100.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 5th Feb, 26",women's off-peak 1h sauna,Women's Off-Peak 1h Sauna,3,16.7,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 5th Feb, 26",women's nhs free sauna,Women's NHS Free Sauna,3,16.7,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 5th Feb, 26",camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,2,11.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 5th Feb, 26",camberwell: nhs free sauna,Camberwell: NHS Free Sauna,2,11.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 5th Feb, 26",camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,2,11.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 5th Feb, 26",members slot,Members Slot,2,11.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 5th Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,11.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 5th Feb, 26",women's off-peak 90min sauna,Women's Off-Peak 90min Sauna,1,5.6,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Thu 5th Feb, 26",mothers recharge,Mothers Recharge,1,5.6,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Thu 5th Feb, 26",stratford nhs free sauna,Stratford NHS Free Sauna,4,30.8,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Thu 5th Feb, 26",stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,4,30.8,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Thu 5th Feb, 26",stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,2,15.4,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Thu 5th Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,15.4,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Thu 5th Feb, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,1,7.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Thu 5th Feb, 26",walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,5,29.4,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Thu 5th Feb, 26",walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,5,29.4,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Thu 5th Feb, 26",walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,17.6,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Thu 5th Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,2,11.8,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Thu 5th Feb, 26",members slot,Members Slot,2,11.8,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Fri 6th Feb, 26",camberwell: off-peak 1h sauna,Camberwell: Off-Peak 1h Sauna,9,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Fri 6th Feb, 26",camberwell: nhs free sauna,Camberwell: NHS Free Sauna,5,23.8,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Fri 6th Feb, 26",camberwell: off-peak 90min sauna,Camberwell: Off-Peak 90min Sauna,3,14.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Fri 6th Feb, 26",members slot,Members Slot,2,9.5,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Fri 6th Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,2,9.5,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 6th Feb, 26",stratford nhs free sauna,Stratford NHS Free Sauna,4,28.6,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 6th Feb, 26",stratford: off-peak 1h sauna,Stratford: Off-Peak 1h Sauna,4,28.6,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 6th Feb, 26",stratford: off-peak 90min sauna,Stratford: Off-Peak 90min Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 6th Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,2,14.3,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 6th Feb, 26",sauna for addiction recovery,Sauna for Addiction Recovery,1,7.1,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Fri 6th Feb, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Fri 6th Feb, 26",walthamstow: off-peak 1h sauna,Walthamstow: Off-Peak 1h Sauna,9,39.1,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Fri 6th Feb, 26",walthamstow: nhs free sauna,Walthamstow: NHS Free Sauna,5,21.7,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Fri 6th Feb, 26",walthamstow: off-peak 90min sauna,Walthamstow: Off-Peak 90min Sauna,3,13.0,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Fri 6th Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,2,8.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Fri 6th Feb, 26",members slot,Members Slot,2,8.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Fri 6th Feb, 26","'immersion' - a restorative combination of breathwork, sound, and contrast therapy.","'Immersion' - a restorative combination of breathwork, sound, and contrast therapy.",1,4.3,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Fri 6th Feb, 26",seasonal aufguss with oliver,Seasonal Aufguss with Oliver,1,4.3,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Sat 7th Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sat 7th Feb, 26",members slot,Members Slot,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sat 7th Feb, 26",camberwell: silent session,Camberwell: 7am Silent Sunrise session,1,6.7,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Sat 7th Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sat 7th Feb, 26",members slot,Members Slot,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sat 7th Feb, 26",walthamstow: silent session,Walthamstow: 7am Silent Sunrise session,1,6.7,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Sat 7th Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,6,75.0,Medium Frequency (Recurring Event)
"Community Sauna Stratford Timetable - Sat 7th Feb, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,2,25.0,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Sun 8th Feb, 26",camberwell: peak 90min sauna,Camberwell: Peak 90min Sauna,6,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sun 8th Feb, 26",members slot,Members Slot,6,42.9,Medium Frequency (Recurring Event)
"Community Sauna Camberwell Timetable - Sun 8th Feb, 26",camberwell: silent session,Camberwell: 7am Silent Sunrise session,1,7.1,Low Frequency (Special Event)
"Community Sauna Camberwell Timetable - Sun 8th Feb, 26",flinta 90min sauna,FLINTA 90min Sauna,1,7.1,Low Frequency (Special Event)
"Community Sauna Walthamstow Timetable - Sun 8th Feb, 26",walthamstow: peak 90min sauna,Walthamstow: Peak 90min Sauna,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sun 8th Feb, 26",members slot,Members Slot,7,46.7,Medium Frequency (Recurring Event)
"Community Sauna Walthamstow Timetable - Sun 8th Feb, 26",walthamstow: silent session,Walthamstow: 7am Silent Sunrise session,1,6.7,Low Frequency (Special Event)
"Community Sauna Stratford Timetable - Sun 8th Feb, 26",stratford: peak 90min sauna,Stratford: Peak 90min Sauna,6,75.0,Medium Frequency (Recurring Event)
"Community Sauna Stratford Timetable - Sun 8th Feb, 26",stratford: peak 1h sauna,Stratford: Peak 1h Sauna,2,25.0,Low Frequency (Special Event)
Sauna & Plunge,sweat & reset: barry's x sauna&plunge,Sweat & Reset: Barry's x Sauna&Plunge,1,33.3,Low Frequency (Special Event)
Sauna & Plunge,herspace: galentines edition,HerSpace: Galentines Edition,1,33.3,Low Frequency (Special Event)
Sauna & Plunge,power & plunge: f45 engine club x sauna&plunge,Power & Plunge: F45 Engine Club x Sauna&Plunge,1,33.3,Low Frequency (Special Event)
Urban Heat Wellness,galentines guided banya with sasha davai,Galentines Guided Banya with Sasha Davai,1,50.0,Low Frequency (Special Event)
Urban Heat Wellness,sauna and song meditation,Sauna and Song Meditation,1,50.0,Low Frequency (Special Event)
