Name,Address,Description,watchlist_ind,n_dry_saunas,n_steam_rooms,sauna_types,tags,venue_primary_function,cold_immersion_setup,showers_available,url
West Wickham Leisure Centre,"Station Rd, West Wickham BR4 0PX",A Mytime Active community facility. Verified 2026: Features a dedicated poolside health suite with a traditional sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.mytimeactive.com/locations/west-wickham-leisure-centre
Willesden Sports Centre,"Donnington Rd, London NW10 3QX",Brent's flagship athletic hub managed by Everyone Active. Features a full thermal suite alongside its Olympic-standard track and pool.,,1,1,[Finnish],"[Public, Leisure, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/willesden-sports-centre/
Wimbledon Leisure Centre & Spa,"Latimer Rd, Wimbledon, SW19 1EW","A historic 1901 venue featuring a flagship ""Spa Experience."" Verified 2026: Offers a vast thermal circuit including a traditional sauna, ice fountain, and multiple steam chambers.",,1,2,[Finnish],"[Public, Boutique, Wellness, Historic, Luxury]",Boutique Spa,,TRUE,https://www.spaexperience.org.uk/locations/wimbledon
Windsor Leisure Centre,"Stovell Rd, Windsor SL4 1CH","While slightly outside the M25, it serves the West London corridor. Verified 2026: Features a dedicated health suite with a sauna and steam room (Aroma).",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.leisurefocus.org.uk/our-centres/windsor-leisure-centre/
Wycombe Leisure Centre,"Handy Cross, High Wycombe HP11 1UP","Zero Rule Applied (Out of Region): While a major regional hub, it is outside the Greater London scope. Verified 2026: Features a large thermal suite with sauna and steam rooms.",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/wycombe-leisure-centre/
7 Days Spa,"16-18 Great Russell St, London WC1B 3NN",A boutique day spa located within the YMCA Club building. Verified 2026: Features a high-heat dry sauna and access to the YMCA's 25m pool.,,1,0,[Finnish],"[Boutique, Wellness, Traditional]",Boutique Spa,,TRUE,https://www.7daysspa.co.uk/
98 Gym,"1-5 Glasshouse Yard, London EC1A 4JN",A high-performance athletic facility. Verified 2026: Features a dedicated recovery zone including a high-heat sauna and cold plunge tanks.,,1,0,[Finnish],"[Athletic, Recovery Hub, Contrast-Focus, Boutique]",Recovery Hub,2 stainless steel ice baths,TRUE,https://98gym.com/london/
1Rebel (Holborn - Reset),"Unit 4, The Post Building, Museum St, WC1A 1PB","The flagship ""Reset"" location. Verified 2026: Features a dedicated contrast therapy suite with mood-lit infrared saunas and cold plunge tubs.",,1,0,[Infrared],"[Boutique, Recovery Hub, Contrast-Focus, High-Heat, Wellness]",Recovery Hub,"2 cold plunge ""cauldrons""",TRUE,https://www.1rebel.com/en-gb/reset
Adamo Spa,"Blue Orchid Tower Suites, 100 Minories, EC3N 1JY",A tranquil haven in the City. Verified 2026: Features a boutique thermal suite with a Finnish sauna and a steam room alongside its treatment menu.,,1,1,[Finnish],"[Boutique, Wellness, Hotel Spa]",Boutique Spa,,TRUE,https://www.adamospa.com/
Akasha Holistic Wellbeing,"68 Regent St, Piccadilly, London W1B 4DY","Located in Hotel Café Royal. Verified 2026: Features a 18m lap pool, a large Finnish sauna, a steam room, a Hammam, and a Watsu pool.",,1,1,[Finnish],"[Luxury, Hotel Spa, Wellness, Traditional]",Hotel Spa,,TRUE,https://www.hotelcaferoyal.com/wellness/
Antara Spa,"Chelsea Health Club, Stamford Bridge, SW6 1HS","Located within the grounds of Chelsea FC. Verified 2026: Offers a high-end thermal suite with a dedicated sauna, steam room, and cold plunge.",,1,1,[Finnish],"[Luxury, Athletic, Wellness, Contrast-Focus]",Gym / Leisure Centre,1 tiled cold plunge pool,TRUE,https://chelseahealthclub.com/spa/
Aquilla Health and Fitness Club,"11 Thurloe Place, London SW7 2RS",A private health club adjacent to the Rembrandt Hotel. Verified 2026: Features a 15m pool with dedicated male and female saunas and steam rooms.,,2,2,[Finnish],"[Hotel Spa, Luxury, Traditional]",Hotel Spa,,TRUE,https://www.sarova-rembrandthotel.com/aquilla-health/
Archway Leisure Centre,"MacDonald Rd, London N19 5DD","Managed by Better (GLL) for Islington. Verified 2026: Features a dedicated health suite including a dry sauna and steam room, distinct from the leisure pool area.",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/islington/archway
Aura Organics Spa,"Unit 11/12, Canalside at Here East, E15 2GW",Nestled in Hackney Wick. Verified 2026: A private-use boutique spa featuring a multi-sensory circuit with an infrared sauna and an aromatic herbal steam room.,,1,1,[Infrared],"[Boutique, Wellness, Private, Traditional]",Boutique Spa,,TRUE,https://www.auraorganicsspa.com/
Axis Wellness,"The Circle, Queen Elizabeth St, SE1 2JE","Also known as ""The Circle Gym & Spa"" near Tower Bridge. Verified 2026: Features a dedicated spa area with a 17m pool, a traditional sauna, and a steam room.",,1,1,[Finnish],"[Boutique, Wellness, Luxury, Traditional]",Boutique Spa,,TRUE,https://www.thecirclegymandspa.co.uk/
Balham Leisure Centre,"Elmfield Rd, Balham, London SW17 8AN",Managed by Places Leisure for Wandsworth. Verified 2026: Features a tranquil health suite with a dry sauna and steam room located within the pool area.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.placesleisure.org/centres/balham-leisure-centre/
Ballymore (Embassy Gardens),"3 Nine Elms Ln, London SW11 7AY","2026 Flagship: The ""Eg:le Club"" wellness centre. Features a high-spec thermal floor with a Finnish sauna, steam room, and a dedicated cold plunge in ""The Retreat.""",,1,1,[Finnish],"[Luxury, Private, Wellness, Contrast-Focus]",Recovery Hub,1 cold plunge pool,TRUE,https://www.ballymoregroup.com/project/detail/embassy-gardens
Barking Abbey Leisure Centre,"Bobby Moore Way, Barking IG11 7HW",A major community hub managed by Everyone Active. Verified 2026: Features a dedicated thermal suite with a large sauna and steam room (separate from the Abbey Spa wing).,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.everyoneactive.com/centre/abbey-leisure-centre/
Beaufort Gardens (The Beaufort),"33 Beaufort Gardens, London SW3 1PW","A luxury boutique hotel in Knightsbridge. Verified 2026: Features a private-use wellness room for guests, including a high-spec Finnish sauna.",,1,0,[Finnish],"[Luxury, Hotel, Private, Wellness]",Hotel,,TRUE,https://www.thebeaufort.com/
Beis Body,"47-49 Lonsdale Rd, London NW6 6RA","A boutique Pilates and movement studio in Queen's Park. Verified 2026: Features a dedicated ""Recovery Pod"" available for private hire, containing an infrared sauna.",,1,0,[Infrared],"[Boutique, Wellness, Private, Recovery Hub]",Recovery Hub,,TRUE,https://www.beisbody.com/
Berkeley Health Club & Spa,"Wilton Pl, Knightsbridge, London SW1X 7RL",A world-renowned rooftop spa at The Berkeley. Features a stunning open-air pool and a high-spec thermal suite including a sauna and steam room.,,1,1,[Finnish],"[Luxury, Hotel Spa, Wellness, Traditional, Outdoor]",Hotel Spa,,TRUE,https://www.the-berkeley.co.uk/spa/
Bermondsey Wellness,"120 Drummond Rd, London SE16 4DG","Address Corrected: Part of the ""Bermondsey Hub"" facilities. Verified 2026: A high-performance recovery area featuring a Finnish sauna and specialized sports massage units.",,1,0,[Finnish],"[Athletic, Recovery Hub, Wellness, High-Heat]",Recovery Hub,,TRUE,https://www.bermondseyhub.co.uk/
Blue Harbour Club (Harbour Club Chelsea),"Waterberry Drive, London SW6 2RR","2026 Flagship: Often confused with the hotel spa, this elite club features a ""Spa Retreat"" with a large Finnish sauna, an aromatherapy room, and a salt steam room.",,1,2,"[Finnish, Salt]","[Luxury, Private, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.harbourclub.com/clubs/chelsea/club-facilities/spa-and-wellbeing/
BodyWorksWest,"11 Lambton Pl, Notting Hill, London W11 2SH",A boutique members' club. Verified 2026: Features a luxury 18m pool and a comprehensive thermal suite including a sauna and a steam room.,,1,1,[Finnish],"[Luxury, Private, Wellness, Traditional]",Gym / Leisure Centre,,TRUE,https://bodyworkswest.co.uk/
Bulgari Spa London,"171 Knightsbridge, London SW7 1DW","2026 Flagship: One of London's most expansive luxury spas. Features a 25m pool, a gold-leaf vitality pool, and a thermal suite with a high-heat sauna and steam room.",,1,1,[Finnish],"[Luxury, Hotel Spa, Wellness, Traditional]",Hotel Spa,1 ice fountain,TRUE,https://www.bulgarihotels.com/en_US/london/the-spa/the-spa-at-bulgari-hotel-london
Isleworth Leisure Centre,"Twickenham Rd, Isleworth TW7 7EU","Managed by Lampton Leisure. Verified 2026: Features a dedicated ""Wellness and Health Suite"" with a mixed-gender traditional sauna, steam room, and Jacuzzi.",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.lamptonleisure.co.uk/our-centres/isleworth-leisure-centre/
Jumairah Spa,"241 Edgware Rd, Colindale, London NW9 6LU",A private women-only boutique spa. Verified 2026: Offers authentic spa day packages featuring a traditional sauna and an infrared sauna suite for detoxification.,,2,0,"[Finnish, Infrared]","[Boutique, Private, Wellness, Women-Only]",Boutique Spa,,TRUE,https://www.treatwell.co.uk/place/jumairah-spa/
LondonCryo (City),"20 Artillery Lane, London E1 7LS",A premier City recovery and longevity hub. Verified 2026: Houses a private Infrared sauna cabin alongside whole-body cryotherapy and red light therapy.,,1,0,[Infrared],"[Boutique, Recovery Hub, Wellness, Tech]",Recovery Hub,,TRUE,https://www.londoncryo.com/city-of-london
Islington Tennis Centre,"Market Road, London N7 9PL","Managed by Better (GLL). Verified 2026: In addition to extensive tennis facilities, it houses a health suite containing a traditional sauna and steam room.",,1,1,[Finnish],"[Public, Leisure, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/islington/islingtontc
Latchmere Leisure Centre,"Burns Rd, Battersea, London SW11 5AD",A major Wandsworth hub managed by Places Leisure. Verified 2026: Features a dedicated poolside health suite with a traditional sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.placesleisure.org/centres/latchmere-leisure-centre/
LAYANA Muswell Hill,"224 Muswell Hill Broadway, London N10 3EE",A boutique wellness and aesthetic clinic. Verified 2026: Features a private-hire infrared sauna suite designed for detoxification and post-treatment recovery.,,1,0,[Infrared],"[Boutique, Private, Wellness]",Wellness Centre,,TRUE,https://layana.london/
Leytonstone Leisure Centre,"Cathall Rd, Leytonstone, London E11 4LF",Managed by Better (GLL). Verified 2026: Features a large 25m pool and a classic health suite with a sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/waltham-forest/leytonstone-leisure-centre
LivingWell Wembley,"Lakeside Way, Wembley, London HA9 0BU","Located inside the Hilton London Wembley. Verified 2026: Features a 12m indoor pool, a traditional sauna, and a steam room.",,1,1,[Finnish],"[Hotel Spa, Wellness, Athletic]",Gym / Leisure Centre,,TRUE,https://www.livingwell.com/clubs/london-wembley/
LondonCryo (NW8),"105 St John's Wood Terrace, London NW8 6PL",A premium recovery hub in St John's Wood. Verified 2026: Features private Infrared sauna cabins for detoxification and chronic pain management.,,1,0,[Infrared],"[Boutique, Recovery Hub, Wellness, Tech]",Recovery Hub,,TRUE,https://www.londoncryo.com/st-johns-wood
Lowlu Sauna & Plunge,"160 Blackhorse Lane, London E17 5QJ",2026 Flagship: A premier wood-fired social sauna in Walthamstow. Designed for community wellness and contrast therapy.,1,1,0,"[Finnish, Wood-fired]","[Social, Boutique, Traditional, Contrast-Focus, Outdoor]",Social Sauna,2 cold plunge tubs,TRUE,https://www.lowlu.com/
Jubilee Hall (Covent Garden),"30 The Piazza, Covent Garden, WC2E 8BE",A historic gym located in the Grade II listed Jubilee Market building. Verified 2026: Maintains traditional saunas within the male and female changing areas.,,2,0,[Finnish],"[Public, Athletic, Historic, Traditional]",Gym / Leisure Centre,,TRUE,https://www.jubileehalltrust.org/jubilee-hall/
New Barnet Leisure Centre,"Lawton Rd, Barnet EN4 9AH",A modern Better-managed facility. Verified 2026: Houses a poolside health suite containing a traditional sauna and steam room for member recovery.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/barnet/new-barnet-leisure-centre
New Chiswick Pool,"4 Edensor Rd, Chiswick, London W4 2RG",Managed by Lampton Leisure. Verified 2026: A community hub featuring a 25m pool and a classic health suite with a traditional sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.lamptonleisure.co.uk/our-centres/new-chiswick-pool/
New Docklands Steam Baths,"30a Stephenson St, Canning Town, E16 4SA",2026 Flagship: A legendary traditional bathhouse. Verified 2026: Features an authentic cedarwood sauna and a unique circuit of four steam rooms at varying temperatures.,,1,4,"[Finnish, Banya]","[Traditional, Public, Social, Wellness, Contrast-Focus]",Traditional Banya,1 refrigerated cold plunge pool,TRUE,https://newdocklands.uk/
Nuffield Health (Purley Way),"619 Purley Way, Colonnades, Croydon CR0 4RJ","A large-scale fitness and wellbeing gym. Verified 2026: Features a dedicated wet area with a swimming pool, a traditional sauna, and a steam room.",,1,1,[Finnish],"[Luxury, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/croydon
Nuffield Health (Southside),"Southside Shopping Centre, Wandsworth, SW18 4TQ","Located within the Wandsworth Southside complex. Verified 2026: Features a high-spec thermal suite with a sauna, steam room, and a large spa pool.",,1,1,[Finnish],"[Luxury, Athletic, Wellness]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/wandsworth-southside
Nuffield Health (Willesden),"Sidmouth Road, Willesden, London NW2 5JY","Officially known as the Brondesbury Park club. Verified 2026: Features a dedicated wet-area including a swimming pool, a traditional sauna, and a steam room.",,1,1,[Finnish],"[Luxury, Athletic, Wellness, Traditional]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/brondesbury-park
Nuffield Health City,"4 Cousin Lane, London EC4R 3XJ","2026 Flagship: The primary ""Central"" hub for Nuffield. Features a high-spec spa area with separate male/female saunas and a communal steam room.",,2,1,[Finnish],"[Luxury, Athletic, Wellness, Traditional]",Gym / Leisure Centre,,TRUE,https://www.nuffieldhealth.com/gyms/city
Studio Figura Ealing,"170 South Ealing Rd, London W5 4QL",A specialized body-shaping and wellness clinic. Verified Jan 2026: Features a state-of-the-art Infrared Sauna cabin available for private 30-40 minute sessions.,,1,0,[Infrared],"[Boutique, Wellness, Tech]",Wellness Centre,,TRUE,https://studiofiguraealing.com/infrared-sauna/
Surbiton Racquets & Fitness Club,"Berrylands, Surbiton KT5 8JT",A historic private members' sports club. Verified Jan 2026: Features traditional dry saunas within the changing room areas. Note: This site does not have a swimming pool or steam room.,,2,0,[Finnish],"[Private, Athletic, Traditional, Historic]",Gym / Leisure Centre,,TRUE,https://www.surbiton.org/
Sweatbox Soho,"Ramillies House, 1-2 Ramillies St, W1F 7LN","2026 Verification: A massive 24/7 gay sauna and gym hub. Features a unique multi-level thermal experience including an infrared sauna and a ""steam maze.""",,1,3,[Infrared],"[Private, Social, Boutique, Tech, Traditional]",Gym / Leisure Centre,,TRUE,https://www.sweatboxsoho.com/
SweatLounge Chiswick,"48 Chiswick High Rd, London W4 1SZ",2026 Flagship: A specialized boutique biohacking studio. Verified 2026: Features multiple solo infrared pods and premier IR cabins. No traditional steam rooms are on-site.,,5,0,[Infrared],"[Boutique, Wellness, Tech]",Wellness Centre,,TRUE,https://sweatlounge.co.uk/
Waking Dreams,"1 Birkbeck St, Bethnal Green, E2 6JY","Verified 2026: A progressive movement playground. Features a dedicated ""Sauna & Plunge"" zone with two high-heat Finnish saunas and a contrast recovery area.",,2,0,[Finnish],"[Boutique, Wellness, Social, Contrast-Focus]",Wellness Centre,3 cold plunge tanks,TRUE,https://www.wakingdreams.co/
Warren House Hotel,"Warren Rd, Kingston upon Thames, KT2 7HY","A Victorian Grade II listed hotel. Verified 2026: Features an indoor leisure pool with a small, private traditional sauna. No steam room is on-site.",,1,0,[Finnish],"[Hotel, Luxury, Historic, Traditional]",Hotel,,TRUE,https://www.warrenhouse.com/
Wavelengths Leisure Centre,"Griffin St, Deptford, London SE8 4RJ",Managed by Better (GLL). Verified 2026: Features a dedicated poolside health suite with a traditional sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/lewisham/wavelengths-leisure-centre
WellNest,"18-20 St Thomas St, London SE1 9RS",2026 Flagship: A premium hub in London Bridge. Features two Nordic-style dry saunas and a dedicated contrast therapy zone.,,2,0,[Finnish],"[Boutique, Wellness, Tech, Contrast-Focus]",Wellness Centre,2 cold plunge pools,TRUE,https://www.wellnest.london/
Wembley Leisure Centre,"Grand Felda House, Empire Way, HA9 0EF",Managed by Better (GLL). Verified Jan 2026: A modern facility containing a 25m pool and a health suite with a sauna and steam room.,,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/wembley/wembley-leisure-centre
Finnish Church in London,"33 Albion St, London SE16 7JG","2026 Verification: The most authentic ""Löyly"" experience in London. Features a traditional wood-paneled sauna in the church basement.",1,1,0,[Finnish],"[Traditional, Social, Boutique, Historic]",Wellness Centre,,TRUE,https://britannia.merimieskirkko.fi/en/services/sauna/
Woolwich Waves,"1 Basson St, Woolwich, SE18 6FE","Officially the Waterfront Leisure Centre. Verified Jan 2026: Managed by Better. Features a dedicated ""Health Suite"" with a traditional sauna and steam room.",,1,1,[Finnish],"[Public, Leisure, Wellness]",Gym / Leisure Centre,,TRUE,https://www.better.org.uk/leisure-centre/london/greenwich/waterfront-leisure-centre
Yard Sauna,"1-3 Brixton Station Rd, London SW9 8PA","2026 Flagship: A rustic, community wood-fired sauna. Verified Jan 2026: Features two outdoor wood-fired saunas and a contrast zone with cold plunge tubs.",1,2,0,"[Finnish, Wood-fired]","[Social, Boutique, Traditional, Contrast-Focus, Outdoor]",Social Sauna,2 cold plunge tubs,TRUE,https://www.yard-sauna.com/
York Hall Spa (Be Well),"5 Old Ford Rd, Bethnal Green, E2 9PJ",2026 Major Renovation: One of London's last remaining Victorian Turkish Baths. Features two traditional Finnish saunas and multiple steam/Turkish hot rooms.,,2,3,"[Finnish, Turkish]","[Historic, Public, Traditional, Wellness]",Traditional Banya,1 cold plunge pool,TRUE,https://be-well.org.uk/spa/
The Cabin Sauna,"Clapham Common (Children's Water Park), SW4 0QZ",2026 Verification: A premier mobile social sauna hub. Features two handcrafted wood-fired cabins and a high-spec contrast therapy circuit. Operational seasonally (Oct–May).,1,2,0,"[Finnish, Wood-fired]","[Social, Boutique, Traditional, Contrast-Focus, Outdoor]",Social Sauna,"4 cold plunge tubs (2 indiv, 2 comm)",TRUE,https://thecabinsauna.co.uk/
1Rebel (High Street Kensington),"45 Phillimore Walk, London W8 7RZ","""Reset"" Concept: A dedicated, state-of-the-art recovery suite. Features a private Infrared sauna cabin and signature ""Brass Monkey"" cold plunge cauldrons.",,1,0,[Infrared],"[Boutique, Wellness, Tech, Contrast-Focus]",Wellness Centre,2 cold plunge tubs,TRUE,https://www.1rebel.com/en-gb/clubs/high-street-kensington
Psycle (Oxford Circus),"76 Mortimer St, London W1W 7SA","Zero Rule Applied: Verified Jan 2026: This studio uses Infrared panels for its ""Infrared Sculpt"" and ""Yoga"" classes. It does NOT have standalone saunas or recovery suites.",,0,0,[],"[Boutique, Athletic, Tech]",Fitness Studio,,TRUE,https://psyclelondon.com/pages/oxford-circus
FS8 (Blackhorse Lane),"Blackhorse Mills, Unit 4, London E17 6ZJ",2026 Verification: A boutique functional studio. Features a standalone Infrared sauna unit available for private 20-30 minute recovery sessions.,,1,0,[Infrared],"[Boutique, Wellness, Tech]",Fitness Studio,,TRUE,https://fs8.com/studio/blackhorselane/
Skuna Boats (West India Quay),"West India Quay, London E14 4AL","2026 Flagship: A unique floating sauna experience. Operates two separate wood-fired ""Sauna Boats"" (one for 16 guests, one for 8) on the London docks.",1,2,0,"[Finnish, Wood-fired]","[Social, Boutique, Traditional, Outdoor]",Social Sauna,,TRUE,https://www.skunaboats.com/sauna-boat
Third Space Canary Wharf,"16-19 Canada Square, London E14 5ER","2026 Flagship: Europe's largest luxury health club. Following the 2025 ""Recovery Spa"" addition, the site now features high-tech biohacking tools alongside its traditional wet spa facilities.",,3,2,"[Finnish, Infrared]","[Luxury, Athletic, Wellness, Tech, Traditional]",Gym / Leisure Centre,1 cold plunge tub (Recovery Spa),TRUE,https://www.thirdspace.london/canary-wharf/